ID,y
1,83.11175
2,97.731224
3,83.46615
4,76.98972
5,112.37448
8,91.39175
10,100.195625
11,95.20041
12,117.31856
14,96.3002
15,116.10186
16,105.198494
17,101.000656
19,91.05889
20,100.628975
21,103.62934
22,118.753876
23,101.000656
26,95.950645
28,95.55448
29,101.000656
33,101.000656
35,94.451584
41,101.000656
42,94.491135
43,113.72631
45,102.20142
46,100.807655
51,94.29965
53,84.57133
55,109.23132
56,104.776085
57,109.84598
58,98.74756
59,104.091446
63,105.26538
64,94.38891
65,100.132065
69,97.06819
71,99.1315
72,104.70809
73,96.20987
76,104.63067
77,96.86265
78,116.48437
82,94.25817
83,100.132065
84,100.72053
85,106.82439
87,110.69568
88,101.000656
89,110.22721
91,98.13028
93,102.24023
94,104.68295
95,101.662445
96,111.248085
97,95.61676
98,109.85601
99,98.87984
101,105.944046
103,110.22721
104,93.61562
105,110.04398
110,97.24848
111,101.944466
113,104.50173
114,96.49864
115,111.37489
117,110.22721
120,95.8003
121,113.181496
122,94.76273
123,106.10927
126,108.39141
132,109.273056
135,110.479164
137,102.180916
138,95.00878
140,103.933525
142,108.477936
144,110.88683
148,91.85652
149,114.23601
155,102.56387
156,111.67776
157,95.61676
162,113.81528
163,96.020775
167,94.7538
172,113.72631
179,106.92355
180,94.71999
181,107.767685
182,97.44815
183,110.22721
185,110.22721
187,107.12003
188,92.988075
189,94.536995
191,93.91207
192,103.49051
193,94.19669
194,107.32626
195,94.788
196,99.18507
198,109.234505
199,111.02885
201,100.22241
204,95.1722
205,106.006134
206,107.115845
210,97.035995
211,105.944046
216,111.87686
219,117.31856
220,93.023445
221,109.35073
226,107.767685
227,93.03649
228,110.297485
230,110.04629
231,95.61676
235,118.753876
236,98.88789
238,112.03373
242,104.59859
243,94.381905
244,80.00829
245,111.08394
247,117.531425
248,94.92793
249,91.48656
250,113.69964
251,98.88789
253,118.753876
254,94.93083
256,95.205315
257,92.11578
258,108.87688
259,97.974495
262,91.938034
266,101.34945
267,113.17681
272,103.880684
273,110.22721
275,94.16891
276,108.90361
279,93.41407
280,100.132065
283,93.223755
285,110.09399
288,110.22721
289,108.55623
290,100.45612
291,95.08014
292,105.7146
293,105.619255
296,94.05369
297,105.63296
298,116.48437
299,93.82126
304,91.65458
305,86.83621
306,94.755035
307,109.11723
311,104.0206
313,109.08299
314,92.75329
316,108.80238
324,109.923386
327,98.897766
329,92.59359
330,109.691795
337,97.7815
338,95.02637
339,99.93386
340,93.48581
343,93.588646
345,115.96097
346,96.56759
347,112.281334
349,110.147285
350,94.628975
352,103.99929
353,92.532745
354,90.952545
357,95.93724
358,107.564255
362,108.03057
364,104.02152
365,101.55745
366,101.995995
367,106.754974
368,93.77229
370,81.18319
373,98.86843
377,93.91798
378,106.99266
382,104.63067
384,110.371445
390,96.814095
392,112.06505
393,112.10795
395,94.49332
396,96.50676
399,80.67646
406,109.08299
408,109.08299
409,95.09031
410,80.63247
412,112.56852
413,89.5911
419,99.938705
420,105.38991
421,90.025826
430,105.67556
434,93.53201
436,94.93897
437,102.41819
438,90.70041
439,111.449165
440,101.70279
443,101.72142
446,95.1722
448,92.925415
452,94.48584
453,108.41028
457,99.367
458,94.574135
459,113.85833
460,103.65988
462,104.0856
464,101.396355
465,117.31856
467,112.53706
471,106.69538
472,77.06212
473,105.355705
475,95.91719
480,102.49588
488,105.771484
490,109.11723
491,104.96609
492,83.46809
493,97.70406
497,93.56843
498,107.58722
499,94.4514
500,100.89007
501,94.66167
502,111.33358
506,87.368355
510,107.75802
511,90.61899
512,93.98282
516,93.69376
518,97.501335
519,112.281334
521,91.51537
